CourseCategory,Actual_Enrollment,Predicted_Enrollment,Actual_Revenue,Predicted_Revenue
Artificial Intelligence,157.0,34898.453398230406,38167.69,34898.453398230406
Business,150.0,32043.011317895824,30977.05,32043.011317895824
Cybersecurity,152.0,11039.651903994583,14587.619999999999,11039.651903994583
Data Science,160.0,13562.959850966572,13105.9,13562.959850966572
Design,161.0,8136.414468260919,7738.360000000001,8136.414468260919
Digital Marketing,143.0,10684.510590077614,8466.82,10684.510590077614
Finance,155.0,5039.435690863677,4883.74,5039.435690863677
Machine Learning,131.0,133.72440145423144,16.38,133.72440145423144
Marketing,159.0,205.75139320917316,0.0,205.75139320917316
Programming,145.0,14104.63448092568,12279.279999999999,14104.63448092568
Project Management,153.0,30090.563678686824,32877.81,30090.563678686824
Web Development,151.0,2606.731372908016,3161.36,2606.731372908016
