Feature,Importance
num__CoursePrice,0.28232406806611143
num__WeekOfYear,0.08273862128882169
num__Revenue_Rolling_30,0.07156907474782326
num__Revenue_Rolling_14,0.06191169955673894
num__Revenue_Rolling_7,0.051323911979505546
num__DayOfWeek_Sin,0.05090328712579937
num__Enrollment_Rolling_30,0.03824867845185669
num__Revenue_Lag_30,0.033300302714069877
num__DayOfWeek_Cos,0.03258069971280144
num__Revenue_Growth,0.03227258749819077
num__Revenue_Lag_14,0.031018315148168357
num__Revenue_Rolling_Max_7,0.026950005926571322
num__Enrollment_Rolling_14,0.025313161465961898
num__Month_Sin,0.022999741977198455
num__Month_Cos,0.02282461449080776
num__Enrollment_Rolling_7,0.017707415471427002
num__Revenue_Lag_1,0.016982877131564954
num__Revenue_Lag_7,0.015616287529399283
num__Enrollment_Growth,0.01078103189718508
num__Enrollment_Lag_14,0.009589092920679176
num__Enrollment_Lag_30,0.009037004285212492
num__CourseRating,0.006843410911535743
num__Enrollment_Lag_1,0.0065503120680144725
num__CourseDuration,0.0060388205988054135
num__Enrollment_Lag_7,0.005644239809042417
num__Enrollment_Rolling_Max_7,0.005631755035190532
num__IsWeekend,0.004985419019813393
cat__CourseCategory_Business,0.002227954144952081
cat__CourseCategory_Artificial Intelligence,0.0019488817232007614
cat__CourseLevel_Beginner,0.0018961361553539863
cat__CourseLevel_Advanced,0.0018562104522898413
cat__CourseLevel_Intermediate,0.0014750128338801075
cat__Expertise_Machine Learning,0.0011674811682008137
num__YearsOfExperience,0.001097029898084382
cat__CourseCategory_Programming,0.0010362280760289034
cat__CourseCategory_Project Management,0.0010176303729502894
cat__Expertise_Cybersecurity,0.0009689333204049112
num__TeacherRating,0.0009677680707735627
cat__CourseCategory_Cybersecurity,0.000778529250091121
cat__CourseCategory_Data Science,0.0007688553487503545
num__Enrollment_Rolling_Min_7,0.00044328267382970983
cat__CourseCategory_Design,0.0004108705399418803
cat__CourseCategory_Digital Marketing,0.00018098649332515726
cat__CourseCategory_Finance,6.127096459354335e-05
cat__CourseCategory_Web Development,1.0469668754658148e-05
cat__CourseType_Paid,2.1897624238528244e-08
cat__CourseType_Free,1.0118672920985694e-08
cat__CourseCategory_Machine Learning,0.0
cat__CourseCategory_Marketing,0.0
